Trace,Prefetcher,IPC,IPCI,L2C_Coverage,L2C_Accuracy,L2C_Overprediction,L2C_Timeliness,L2C_UsefulPF,LLC_DemandHit,DRAM_Traffic,L1D_average_miss_latency,L2C_average_miss_latency,LLC_average_miss_latency,L1-MPKI,L2-MPKI,MPKI,PCM_useful_prefetches,PCM_late_prefetches,PCM_coverage,PCM_accuracy,PCM_laterate,MT_hitrate,CT_hitrate,CT_accuracy,CT_accuratepf
429.mcf-51B,latetpl2d1,0.2875,1.1979166666666665,0.4686610033953184,0.7963430505614084,0,0.9547470363885945,0.3368779075359344 ,0.2240276120594484,1.212537983038212,51.75,110.8,89.5,135.31388,30.943095,22.752145,0,0,0,0,0,0.83595,0,0,0,7200373
429.mcf-51B,latetpl2d2,0.29,1.2083333333333333,0.5010107996641944,0.7105460989196397,0,0.9909982666313153,0.18051546884878023 ,0.22176299707629726,1.2525927397771461,50.86,112.9,90.18,135.2705,29.05917,22.172925,0,0,0,0,0,0.908995,0,0,0,8312505
429.mcf-51B,latetpl2d3,0.2893,1.2054166666666668,0.503840575093752,0.6515850691019927,0,0.9941772286743634,0.12194906974865106 ,0.22262336491925874,1.2918600529652715,50.96,113.3,90.61,135.265255,28.894375,22.10468,0,0,0,0,0,0.935646,0,0,0,9105092
429.mcf-51B,latetpl2d4,0.2887,1.2029166666666669,0.5067946720992677,0.6104937533193743,0,0.9946601483619346,0.0926602020142187 ,0.22074659882595676,1.3260052229967607,51.03,113.7,90.97,135.267185,28.72234,22.03261,0,0,0,0,0,0.950248,0,0,0,9789119
429.mcf-51B,latetpl2d5,0.2879,1.1995833333333332,0.5062723154223834,0.5768746383176069,0,0.9946806494240196,0.07487371696565323 ,0.22195876703698694,1.3574570085400526,51.22,113.9,91.28,135.271985,28.75276,22.04051,0,0,0,0,0,0.958888,0,0,0,10380309
429.mcf-51B,latetpl3d1,0.2904,1.21,0.49156313260836454,0.8202312617140064,0,0.9735266500185191,0.3513795808645229 ,0.23312851864060816,1.2012100427127965,50.44,110.7,88.87,135.223595,29.609365,21.86537,0,0,0,0,0,0.836119,0,0,0,7152762
429.mcf-51B,latetpl3d2,0.2918,1.2158333333333333,0.5145957651331898,0.7364046723362714,0,0.9971727710248246,0.18456377331440757 ,0.22948638034017946,1.2378233268788141,49.96,112.5,89.52,135.23293,28.268035,21.47779,0,0,0,0,0,0.90803,0,0,0,8137428
429.mcf-51B,latetpl3d3,0.2915,1.2145833333333333,0.5183025743323683,0.6801511430471597,0,0.9978609664617684,0.12466164407210506 ,0.22860070285288123,1.2722142387909199,49.99,112.9,89.99,135.240625,28.052165,21.355515,0,0,0,0,0,0.935362,0,0,0,8881917
429.mcf-51B,latetpl3d4,0.2905,1.2104166666666667,0.518892500816075,0.6373321379370391,0,0.9979668076355506,0.0944306383094053 ,0.227998637122309,1.305015724639413,50.18,113.3,90.42,135.231985,28.01781,21.36257,0,0,0,0,0,0.949499,0,0,0,9509817
429.mcf-51B,latetpl3d5,0.2899,1.2079166666666667,0.5196418645695013,0.6039239632870774,0,0.997940133221699,0.07631117839807106 ,0.2285100745889282,1.3347850848966756,50.3,113.5,90.75,135.246185,27.97417,21.318595,0,0,0,0,0,0.958725,0,0,0,10076343
433.milc-127B,latetpl2d1,0.8033,0.9898952556993222,0.017539941456263693,0.9901072523691258,0,0.9977578475336323,0.9669183551523711 ,0.0025415780579100948,1.0118188483362702,128.2,121.5,77.13,34.6288,15.682445,15.446905,0,0,0,0,0,0.0223601,0,0,0,72073
433.milc-127B,latetpl2d2,0.8036,0.9902649414664202,0.01799131397641649,0.9923496597805431,0,0.9988633696149046,0.6629738661243635 ,0.0024935773621235597,1.0117794987875623,128.1,121.5,77.12,34.61254,15.67524,15.442715,0,0,0,0,0,0.0362067,0,0,0,81565
433.milc-127B,latetpl2d3,0.804,0.9907578558225509,0.018944803186232668,0.9921229564548643,0,0.9990016795273834,0.5423510508059579 ,0.0025146402629439056,1.0118087670469318,128.1,121.5,77.11,34.59226,15.66002,15.42765,0,0,0,0,0,0.045907,0,0,0,85819
433.milc-127B,latetpl2d4,0.804,0.9907578558225509,0.01870925000430699,0.9921945154382814,0,0.998572820941242,0.475183727106581 ,0.0024832610924018237,1.0115634014725512,128,121.4,77.09,34.605315,15.66378,15.432225,0,0,0,0,0,0.05249,0,0,0,86862
433.milc-127B,latetpl2d5,0.8042,0.9910043130006162,0.01936610508741623,0.9927185284235839,0,0.9990265436640444,0.43578450493509574 ,0.0024701476900579975,1.0116186859624712,128,121.5,77.09,34.572525,15.653295,15.421525,0,0,0,0,0,0.058223,0,0,0,88993
433.milc-127B,latetpl3d1,0.803,0.9895255699322243,0.01708668952242532,0.9971151864825881,0,0.9993800371977681,0.985142732976614 ,0.0025398755244458006,1.0117755963529798,128.2,121.5,77.14,34.63787,15.68968,15.457215,0,0,0,0,0,0.0223425,0,0,0,72795
433.milc-127B,latetpl3d2,0.8037,0.9903881700554529,0.018377846724416873,0.9968299429634525,0,0.999545694534828,0.6713952280018805 ,0.0025178708989710826,1.0117492549195473,128.1,121.5,77.12,34.61051,15.66907,15.437415,0,0,0,0,0,0.0359947,0,0,0,81702
433.milc-127B,latetpl3d3,0.804,0.9907578558225509,0.01874621180679001,0.9967405018926118,0,0.9996600911893292,0.5460389003418825 ,0.0025223771576610276,1.0115869786814877,128,121.4,77.09,34.577155,15.66319,15.432995,0,0,0,0,0,0.045727,0,0,0,85596
433.milc-127B,latetpl3d4,0.8039,0.9906346272335181,0.018962657616245653,0.9969703205743815,0,0.999759182596929,0.4800295124932551 ,0.002501487066540199,1.0117487671152243,128,121.4,77.09,34.59619,15.659735,15.429225,0,0,0,0,0,0.0526352,0,0,0,87468
433.milc-127B,latetpl3d5,0.8038,0.9905113986444855,0.018764379472417256,0.9964281287676481,0,0.9997286050298535,0.44138013669564 ,0.002550529451825007,1.0115211250979064,128,121.4,77.1,34.596945,15.6629,15.432515,0,0,0,0,0,0.0575788,0,0,0,88749
433.milc-274B,latetpl2d1,0.6701,0.996283080582813,0.004200846588268298,0.99974173553719,0,0.9994187548437097,0.9923688598178787 ,0.008523673597496131,1.0111755620374552,135.6,126.3,78.81,37.476215,16.7545,16.63532,0,0,0,0,0,0.00503894,0,0,0,15488
